Sqft,Floor,TotalFloor,Bedroom,Living.Room,Bathroom,Price,Cluster
2312.7,11,14,3,2,2,99999,0
925.08,4,9,3,2,2,45000,2
711.6,1,1,3,1,1,12000,1
4198.44,15,19,7,3,4,180000,0
3095.46,1,6,4,2,3,100000,2
2590.224,5,15,3,2,3,110000,0
1885.74,8,13,3,2,2,120000,0
1245.3,1,14,3,2,2,55000,2
1174.14,10,12,3,2,2,41000,2
1458.78,6,7,2,2,2,75000,2
1305.786,9,12,3,2,2,42000,2
1316.46,12,12,3,2,2,45000,2
1167.024,2,12,3,2,2,38000,2
996.24,3,5,3,1,1,28000,1
1099.422,2,7,4,2,2,57777,2
2042.292,6,18,2,2,2,82000,0
843.246,2,18,1,1,1,53000,1
1889.298,18,21,3,2,2,70000,0
1266.648,6,7,3,2,2,40000,2
1707.84,9,9,4,2,2,60000,2
1707.84,9,15,3,2,2,80000,0
2846.4,5,12,4,2,2,138888,0
1359.156,7,15,3,2,2,45000,2
377.148,4,10,1,1,1,24800,1
740.064,13,14,1,1,1,45000,1
1707.84,3,14,3,2,2,65000,2
1376.946,6,7,3,2,1,36000,2
